#XList	YList	IList
170.199997	5411.100098	0.000000
170.199997	5385.100098	0.000000
170.199997	5359.100098	26.816944
170.199997	5333.100098	0.078957
170.199997	5307.100098	22.970346
170.199997	5281.100098	17.273520
170.199997	5255.100098	6.677963
170.199997	5229.100098	11.786701
170.199997	5203.100098	0.000000
170.199997	5177.100098	0.000000
170.199997	5151.100098	0.000000
170.199997	5125.100098	33.755573
170.199997	5099.100098	23.827509
170.199997	5073.100098	0.000000
170.199997	5047.100098	36.174492
170.199997	5021.100098	0.000000
170.199997	4995.100098	65.618660
170.199997	4969.100098	43.064911
170.199997	4943.100098	0.000000
170.199997	4917.100098	2.182878
170.199997	4891.100098	0.000000
170.199997	4865.100098	0.000000
170.199997	4839.100098	28.805244
170.199997	4813.100098	29.592642
170.199997	4787.100098	3.896816
170.199997	4761.100098	0.000000
170.199997	4735.100098	52.470585
170.199997	4709.100098	0.000000
170.199997	4683.100098	0.000000
170.199997	4657.100098	0.000000
170.199997	4631.100098	0.000000
170.199997	4605.100098	21.896679
170.199997	4579.100098	16.445690
170.199997	4553.100098	40.819759
170.199997	4527.100098	0.000000
170.199997	4501.100098	4.556291
170.199997	4475.100098	0.000000
170.199997	4449.100098	2.158818
170.199997	4423.100098	3.467621
170.199997	4397.100098	0.000000
170.199997	4371.100098	25.233723
170.199997	4345.100098	23.817347
170.199997	4319.100098	4.499745
170.199997	4293.100098	27.751402
170.199997	4267.100098	39.346661
170.199997	4241.100098	0.000000
170.199997	4215.100098	0.000000
170.199997	4189.100098	6.261176
170.199997	4163.100098	0.000000
170.199997	4137.100098	0.000000
170.199997	4111.100098	26.150990
170.199997	4085.100098	6.549939
170.199997	4059.100098	8.333978
170.199997	4033.100098	0.000000
170.199997	4007.100098	54.661648
170.199997	3981.100098	47.002804
170.199997	3955.100098	7.124236
170.199997	3929.100098	0.000000
170.199997	3903.100098	8.920786
170.199997	3877.100098	0.000000
170.199997	3851.100098	0.000000
170.199997	3825.100098	0.000000
170.199997	3799.100098	0.000000
170.199997	3773.100098	0.000000
170.199997	3747.100098	0.000000
170.199997	3721.100098	0.000000
170.199997	3695.100098	54.198639
170.199997	3669.100098	6.801051
170.199997	3643.100098	0.000000
170.199997	3617.100098	0.000000
170.199997	3591.100098	90.140663
170.199997	3565.100098	0.000000
170.199997	3539.100098	0.000000
170.199997	3513.100098	0.000000
170.199997	3487.100098	0.000000
170.199997	3461.100098	32.902840
170.199997	3435.100098	0.000000
170.199997	3409.100098	0.000000
170.199997	3383.100098	0.000000
170.199997	3357.100098	21.874655
170.199997	3331.100098	0.000000
170.199997	3305.100098	23.286865
170.199997	3279.100098	24.776213
170.199997	3253.100098	12.993761
170.199997	3227.100098	49.161621
170.199997	3201.100098	63.854191
170.199997	3175.100098	0.000000
170.199997	3149.100098	40.129982
170.199997	3123.100098	0.000000
170.199997	3097.100098	30.614872
170.199997	3071.100098	0.000000
170.199997	3045.100098	22.770430
170.199997	3019.100098	9.323547
170.199997	2993.100098	52.639572
170.199997	2967.100098	0.000000
170.199997	2941.100098	28.861374
170.199997	2915.100098	0.000000
170.199997	2889.100098	21.928539
170.199997	2863.100098	0.000000
170.199997	2837.100098	24.689068
170.199997	2811.100098	0.000000
170.199997	2785.100098	0.000000
170.199997	2759.100098	47.445515
170.199997	2733.100098	0.000000
170.199997	2707.100098	17.307417
170.199997	2681.100098	35.054955
170.199997	2655.100098	49.182732
170.199997	2629.100098	171.993225
170.199997	2603.100098	0.000000
170.199997	2577.100098	0.000000
170.199997	2551.100098	73.866837
170.199997	2525.100098	146.767136
170.199997	2499.100098	4.786862
170.199997	2473.100098	31.052370
170.199997	2447.100098	0.000000
170.199997	2421.100098	48.484253
170.199997	2395.100098	44.535778
170.199997	2369.100098	14.611844
170.199997	2343.100098	64.539772
170.199997	2317.100098	5.756117
170.199997	2291.100098	0.000000
170.199997	2265.100098	36.444618
170.199997	2239.100098	31.588154
170.199997	2213.100098	21.497370
170.199997	2187.100098	23.741627
170.199997	2161.100098	54.555691
170.199997	2135.100098	26.917625
170.199997	2109.100098	80.758034
170.199997	2083.100098	0.000000
170.199997	2057.100098	0.771115
170.199997	2031.099976	3.596863
170.199997	2005.099976	4.427183
170.199997	1979.099976	54.462475
170.199997	1953.099976	10.789923
170.199997	1927.099976	15.315396
170.199997	1901.099976	0.000000
170.199997	1875.099976	11.486844
170.199997	1849.099976	0.000000
170.199997	1823.099976	0.000000
170.199997	1797.099976	36.155579
170.199997	1771.099976	0.000000
170.199997	1745.099976	43.530655
170.199997	1719.099976	0.000000
170.199997	1693.099976	8.435179
170.199997	1667.099976	14.241572
170.199997	1641.099976	35.566929
170.199997	1615.099976	0.000000
170.199997	1589.099976	54.066353
170.199997	1563.099976	14.672307
170.199997	1537.099976	0.306958
170.199997	1511.099976	0.000000
170.199997	1485.099976	0.000000
170.199997	1459.099976	45.156670
170.199997	1433.099976	0.000000
170.199997	1407.099976	0.000000
170.199997	1381.099976	0.000000
170.199997	1355.099976	12.040397
170.199997	1329.099976	0.000000
170.199997	1303.099976	0.160420
